ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd_pledged_real,usd_goal_real
401060,NODE - Ask meaningful questions,Tabletop Games,Games,EUR,11/12/2016,3000,14/11/2016 21:58,3442,successful,139,DE,3593.09,3131.69
982629,"Harmonical Miscellany, The Launch!",Classical Music,Music,EUR,08/01/2016,3000,22/12/2015 23:43,3093,successful,36,NL,3359.29,3258.28
1069403,Plastic Bottle Cutter,Product Design,Design,EUR,23/04/2016,8500,23/02/2016 12:59,356606.11,successful,7798,FR,406638.97,9692.57
1122002,Camber Watches,Product Design,Design,EUR,24/10/2015,18800,16/09/2015 12:33,38992,successful,380,NL,42957.4,20711.92
1221362,TWIRL. No more tangled earphone cables!,Gadgets,Technology,EUR,17/05/2016,35000,17/04/2016 16:42,2323,failed,93,NL,2606.16,39266.28
1586157,One´s Birthday Suit.,Photobooks,Photography,EUR,14/07/2015,4000,15/05/2015 08:33,1427,failed,20,DE,1553.86,4355.59
3218298,meinLight - Erfinde dein Licht,DIY Electronics,Technology,EUR,17/09/2016,10000,18/08/2016 11:14,872,failed,40,DE,977.86,11214.03
3338676,"eTree, for those who come to take shelter in the shade",Makerspaces,Technology,EUR,29/11/2015,80000,30/09/2015 14:43,162,failed,8,FR,176.61,87216.27
3437938,Okko Chronicles,Tabletop Games,Games,EUR,16/11/2017,40000,24/10/2017 20:01,195149,successful,1714,FR,230177.4,47179.83
3454931,Seek N' Sneak 2 - Your robust robotic pet.,Robots,Technology,EUR,23/10/2015,6000,22/09/2015 10:32,3089,failed,20,DE,3423.85,6650.41
4087161,"ALLDOCK 2015 - For Smartphones, Tablets, and Apple Watch",Product Design,Design,EUR,09/12/2015,20000,20/10/2015 16:02,10823,failed,87,DE,11851.21,21900.05
4607750,ARIA LESTER Debut EP,Electronic Music,Music,EUR,20/06/2017,5000,14/05/2017 19:21,5100,successful,72,NL,5698.26,5586.53
4694461,Plant Indoor: The 1st Automatic and Modular Growing System,Hardware,Technology,EUR,20/01/2017,450000,21/11/2016 08:19,138,failed,8,FR,146.72,478438.38
6060402,talkin' soul,Blues,Music,EUR,09/01/2017,6000,13/11/2016 15:19,422,failed,6,FR,449.89,6396.59
6166835,'Normal Things' in Nijmegen,Experimental,Theater,EUR,14/03/2015,1000,03/03/2015 00:33,1020.5,successful,22,NL,1099.69,1077.6
6275168,Star Wars : The New Legion,Science Fiction,Film & Video,EUR,24/07/2015,700,14/06/2015 19:42,108,failed,6,FR,118.14,765.73
6359826,MULTILUMINOUS Glow-in-dark Prints & Paints by Bogi Fabian,Art,Art,EUR,14/02/2017,100000,16/12/2016 16:16,6297,canceled,28,AT,6706.28,106499.68
6924707,"It´s not a watch, It`s YOUR watch",Product Design,Design,EUR,21/06/2017,30000,22/05/2017 17:51,18063,failed,52,DE,20181.9,33519.18
